19 Okt 2013 15:42:12,132 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Explorer Configuration
19 Okt 2013 15:42:12,136 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Console Configuration
19 Okt 2013 15:42:12,141 [AWT-EventQueue-0] ERROR LogAcide - 
19 Okt 2013 15:42:12,219 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Recent Files Configuration
19 Okt 2013 15:42:12,225 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Recent Projects Configuration
19 Okt 2013 15:42:12,227 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - File Editor Configuration
19 Okt 2013 15:42:12,391 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
19 Okt 2013 15:42:12,393 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
19 Okt 2013 15:42:12,393 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
19 Okt 2013 15:42:12,436 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
19 Okt 2013 15:42:13,083 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
19 Okt 2013 15:42:13,084 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
19 Okt 2013 15:42:13,084 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
19 Okt 2013 15:42:13,097 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
19 Okt 2013 15:42:13,298 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
19 Okt 2013 15:42:13,298 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
19 Okt 2013 15:42:13,298 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
19 Okt 2013 15:42:13,309 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
19 Okt 2013 15:42:13,552 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
19 Okt 2013 15:42:13,553 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
19 Okt 2013 15:42:13,553 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
19 Okt 2013 15:42:13,559 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
19 Okt 2013 15:42:13,818 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
19 Okt 2013 15:42:13,818 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
19 Okt 2013 15:42:13,818 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
19 Okt 2013 15:42:13,828 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
19 Okt 2013 15:42:13,981 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
19 Okt 2013 15:42:13,982 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
19 Okt 2013 15:42:13,982 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
19 Okt 2013 15:42:13,989 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
19 Okt 2013 15:42:14,122 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
19 Okt 2013 15:42:14,123 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
19 Okt 2013 15:42:14,123 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
19 Okt 2013 15:42:14,133 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
19 Okt 2013 15:42:14,304 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
19 Okt 2013 15:42:14,305 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
19 Okt 2013 15:42:14,305 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
19 Okt 2013 15:42:14,315 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
19 Okt 2013 15:42:14,646 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Main Window Configuration
19 Okt 2013 15:43:27,762 [AWT-EventQueue-0] INFO  LogAcide - des succesfully killed
